dist_code,hlcit_code,district,vdc,priority,above_1500,num_hh_damage,pct_damage,target_hh,in_db,map_cd,census_hh_dmg,hh_above_1500,hh_below_1500
524 2 05 27,524 2 05 27 5 028,Kathmandu,Gonggabu,t,f,3644,,,f,-4,,,28912
524 2 05 27,524 2 05 27 5 047,Kathmandu,Satungal,t,f,689,,,f,-4,,,5452
524 2 05 28,524 2 05 28 5 004,Nuwakot,Kumari,t,t,1618,,,f,-1,,2276,960
524 2 05 28,524 2 05 28 5 013,Nuwakot,Suryamati,t,f,692,,,f,-4,,,1384
524 2 05 30,524 2 05 30 5 024,Dhading,Maidi,t,f,2617,,,f,-4,,,4334
524 2 05 23,524 2 05 23 5 076,Sindhupalchok,Langarche,t,t,1180,,,f,-1,,1184,
524 2 05 25,524 2 05 25 5 003,Lalitpur,Dhusel,t,t,79,,,f,-1,,616,
524 2 04 21,524 2 04 21 5 023,Ramechhap,Those,t,t,651,,,f,-1,,1212,
524 2 05 25,524 2 05 25 5 017,Lalitpur,Gotikhel,t,t,102,,,f,-1,,806,
524 2 06 31,524 2 06 31 5 042,Makwanpur,Kogate,t,t,206,,,f,-1,,560,
524 2 06 31,524 2 06 31 5 035,Makwanpur,Bajrabarahi,t,t,1564,,,f,-1,,3260,
524 2 05 25,524 2 05 25 5 009,Lalitpur,Bukhel,t,t,86,,,f,-1,,668,
524 2 05 25,524 2 05 25 5 010,Lalitpur,Choughare,t,t,97,,,f,-1,,760,
524 2 05 24,524 2 05 24 5 024,Kavrepalanchok,Sipali Chilaune,t,t,276,,,f,-1,,1148,
524 2 05 28,524 2 05 28 5 015,Nuwakot,Chhap,t,t,448,,,f,-1,,896,
524 2 04 22,524 2 04 22 5 009,Dolakha,Jhyaku,t,t,1407,,,f,-1,,1996,
524 2 05 24,524 2 05 24 5 031,Kavrepalanchok,Mahadevtar,t,t,325,,,f,-1,,762,
524 2 04 22,524 2 04 22 5 007,Dolakha,Thulopatal,t,t,0,1,,f,-1,,1644,
524 2 04 21,524 2 04 21 5 053,Ramechhap,Goswara,t,t,824,,,f,-1,,1540,
524 2 05 27,524 2 05 27 5 048,Kathmandu,Matatirtha,t,t,360,,,f,-1,,2826,
524 2 04 22,524 2 04 22 3 001,Dolakha,Bhimeshwor Municipality,t,t,7871,,,f,-1,,12152,
524 2 05 27,524 2 05 27 5 052,Kathmandu,Sheshnarayan,t,t,217,,,f,-1,,1688,
524 2 04 22,524 2 04 22 5 032,Dolakha,Mali,t,t,0,1,,f,-1,,1386,
524 2 04 22,524 2 04 22 5 043,Dolakha,Laduk,t,t,1113,,,f,-1,,1856,
524 2 04 22,524 2 04 22 5 015,Dolakha,Hawa,t,t,500,,,f,-1,,762,
524 1 03 13,524 1 03 13 5 045,Okhaldhunga,Fediguth,t,t,1034,,,f,-1,,1538,
524 2 05 23,524 2 05 23 5 071,Sindhupalchok,Thakani,t,t,704,,,f,-1,,1436,
524 1 03 13,524 1 03 13 5 017,Okhaldhunga,Jantarkhani,t,t,177,,,f,-1,,776,
524 2 05 23,524 2 05 23 5 079,Sindhupalchok,Haibung,t,t,1193,,,f,-1,,1152,
524 2 04 21,524 2 04 21 5 016,Ramechhap,Pritee,t,t,748,,,f,-1,,2256,
524 1 03 13,524 1 03 13 5 016,Okhaldhunga,Bigutar,t,t,344,,,f,-1,,1066,
524 2 05 25,524 2 05 25 5 006,Lalitpur,Nallu,t,t,119,,,f,-1,,920,
524 2 05 28,524 2 05 28 5 059,Nuwakot,Fikuri,t,t,636,,,f,-1,,1272,
